Product ID,SKU,Name,Product URL,Price,Thumbnail URL,Search Keywords,Description,Category,Brand,Color,Color|Family,Size,Season,Inventory+Count,Faset|attributes
1074MAN,1074MAN,DYLAN CLUTCH SNAKE,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1074MAN&color=17800,198,https://devbr4wam.fdm4.com/prodimg/thumb/1074MAN.jpg,1074MAN   DYLAN CLUTCH SNAKE   Handbags   Vince Camuto   Both feminine and sculptural  we love the contrasting elements at work in the Dylan Clutch from Vince Camuto This soft leather clutch has pleating across the front that culminates in a graceful bow with a gleaming metal center Zipper closure  attached wristlet strap  interior zip pocket 115 inch length  85 inch height  15 inch width   1 Size   ALL Sizes   MANDARIN   ORANGE,Both feminine and sculptural  we love the contrasting elements at work in the Dylan Clutch from Vince Camuto. This soft leather clutch has pleating across the front that culminates in a graceful bow with a gleaming metal center. Zipper closure  attached wristlet strap  interior zip pocket. 11.5 inch length  8.5 inch height  1.5 inch width. ,Brand/Vince Camuto | Category/Handbags,Vince Camuto,MANDARIN,ORANGE,1 Size,S12,272,Brand|Category
1078BLK,1078BLK,KIM LARGE TOTE BLACK,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1078BLK&color=17001,250,https://devbr4wam.fdm4.com/prodimg/thumb/1078BLK.jpg,1078BLK   KIM LARGE TOTE BLACK   Handbags   Vince Camuto   Beautifully decorated with lavish metallic accents  the Kim Tote from Vince Camuto remains an utterly versatile option for the spring season This soft leather tote has vented sides and rows of covered and exposed metallic studs in a variety of shapes and sizes across the front Zipper closure  detachable 21 inch shoulder strap 13 inch length  12 inch height  65 inch width   1 Size   ALL Sizes   BLACK   Black,"Beautifully decorated with lavish metallic accents  the Kim Tote from Vince Camuto remains an utterly versatile option for the spring season. This soft leather tote has vented sides and rows of covered and exposed metallic studs in a variety of shapes and sizes across the front. Zipper closure  detachable 21 inch shoulder strap. 13 inch length  12 inch height  6.5 inch width. 
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,BLACK,Black,1 Size,S12,1669,Brand|Category
1078CAM,1078CAM,KIM LARGE TOTE CAMEL,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1078CAM&color=17200,250,https://devbr4wam.fdm4.com/prodimg/thumb/1078CAM.jpg,1078CAM   KIM LARGE TOTE CAMEL   Handbags   Vince Camuto   Beautifully decorated with lavish metallic accents  the Kim Tote from Vince Camuto remains an utterly versatile option for the spring season This soft leather tote has vented sides and rows of covered and exposed metallic studs in a variety of shapes and sizes across the front Zipper closure  detachable 21 inch shoulder strap 13 inch length  12 inch height  65 inch width   1 Size   ALL Sizes   CAMEL   Browns,"Beautifully decorated with lavish metallic accents  the Kim Tote from Vince Camuto remains an utterly versatile option for the spring season. This soft leather tote has vented sides and rows of covered and exposed metallic studs in a variety of shapes and sizes across the front. Zipper closure  detachable 21 inch shoulder strap. 13 inch length  12 inch height  6.5 inch width. 
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,CAMEL,Browns,1 Size,S12,1347,Brand|Category
1080BLK,1080BLK,DARA HOBO BLACK,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1080BLK&color=17001,348,https://devbr4wam.fdm4.com/prodimg/thumb/1080BLK.jpg,1080BLK   DARA HOBO BLACK   Handbags   Vince Camuto   We love the clean lines and supple feel of the Dara Hobo from Vince Camuto In the softest leather  this slouchy handbag has a clean façade that we accented with faceted studs along the sides and handles for the perfect measure of metallic detailing Zip closure  detachable VC logo dogtag Interior has a zippered pocket and three open pockets 17 inch length  165 inch height  6 inch width   1 Size   ALL Sizes   BLACK   Black,"We love the clean lines and supple feel of the Dara Hobo from Vince Camuto. In the softest leather  this slouchy handbag has a clean façade that we accented with faceted studs along the sides and handles for the perfect measure of metallic detailing. Zip closure  detachable VC logo dogtag. Interior has a zippered pocket and three open pockets. 17 inch length  16.5 inch height  6 inch width. 
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,BLACK,Black,1 Size,S12,1993,Brand|Category
1080BNE,1080BNE,DARA HOBO BONE,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1080BNE&color=17280,348,https://devbr4wam.fdm4.com/prodimg/thumb/1080BNE.jpg,1080BNE   DARA HOBO BONE   Handbags   Vince Camuto   We love the clean lines and supple feel of the Dara Hobo from Vince Camuto In the softest leather  this slouchy handbag has a clean façade that we accented with faceted studs along the sides and handles for the perfect measure of metallic detailing Zip closure  detachable VC logo dogtag Interior has a zippered pocket and three open pockets 17 inch length  165 inch height  6 inch width   1 Size   ALL Sizes   BONE   Beige,"We love the clean lines and supple feel of the Dara Hobo from Vince Camuto. In the softest leather  this slouchy handbag has a clean façade that we accented with faceted studs along the sides and handles for the perfect measure of metallic detailing. Zip closure  detachable VC logo dogtag. Interior has a zippered pocket and three open pockets. 17 inch length  16.5 inch height  6 inch width. 
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,BONE,Beige,1 Size,S12,1156,Brand|Category
1080HAZ,1080HAZ,DARA HOBO HAZE,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1080HAZ&color=17050,348,https://devbr4wam.fdm4.com/prodimg/thumb/1080HAZ.jpg,1080HAZ   DARA HOBO HAZE   Handbags   Vince Camuto   We love the clean lines and supple feel of the Dara Hobo from Vince Camuto In the softest leather  this slouchy handbag has a clean façade that we accented with faceted studs along the sides and handles for the perfect measure of metallic detailing Zip closure  detachable VC logo dogtag Interior has a zippered pocket and three open pockets 17 inch length  165 inch height  6 inch width   1 Size   ALL Sizes   HAZE   LTGREY,"We love the clean lines and supple feel of the Dara Hobo from Vince Camuto. In the softest leather  this slouchy handbag has a clean façade that we accented with faceted studs along the sides and handles for the perfect measure of metallic detailing. Zip closure  detachable VC logo dogtag. Interior has a zippered pocket and three open pockets. 17 inch length  16.5 inch height  6 inch width. 
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,HAZE,LTGREY,1 Size,S12,313,Brand|Category
1081BDY,1081BDY,GENE SMALL SHOULDER BAG BRANDY,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1081BDY&color=17210,278,https://devbr4wam.fdm4.com/prodimg/thumb/1081BDY.jpg,1081BDY   GENE SMALL SHOULDER BAG BRANDY   Handbags   Vince Camuto   Luxe  classic snakeskin meets a pop of neon brights with the Gene Shoulder Bag from Vince Camuto This soft leather tote has a snakeskin printed body with soft leather patches at the top  a curving silhouette with a magnetic snap closure in the center  and diagonal zippers across the front Contrasting hues on the inside of the handles and on the detachable strap Interior has a zippered pocket and three open pockets 155 inch length  13 inch height  4 3 5 inch width   1 Size   ALL Sizes   BRANDY   Browns,Luxe  classic snakeskin meets a pop of neon brights with the Gene Shoulder Bag from Vince Camuto. This soft leather tote has a snakeskin printed body with soft leather patches at the top  a curving silhouette with a magnetic snap closure in the center  and diagonal zippers across the front. Contrasting hues on the inside of the handles and on the detachable strap. Interior has a zippered pocket and three open pockets. 15.5 inch length  13 inch height  4 3/5 inch width. ,Brand/Vince Camuto | Category/Handbags,Vince Camuto,BRANDY,Browns,1 Size,S12,870,Brand|Category
1082GRP,1082GRP,GENE SHOULDER BAG GRAPEFRUIT,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1082GRP&color=17800,250,https://devbr4wam.fdm4.com/prodimg/thumb/1082GRP.jpg,1082GRP   GENE SHOULDER BAG GRAPEFRUIT   Handbags   Vince Camuto   Soft  summery linen meets a pop of neon brights with the Gene Shoulder Bag from Vince Camuto This textured fabric tote has a light knahki-hued body with bright crocodile-printed leather patches at the top  a curving silhouette with a magnetic snap closure in the center  and diagonal zippers across the front Interior has a zippered pocket and three open pockets 155 inch length  13 inch height  4 3 5 inch width   1 Size   ALL Sizes   GRAPEFRUIT   ORANGE,Soft  summery linen meets a pop of neon brights with the Gene Shoulder Bag from Vince Camuto. This textured fabric tote has a light knahki-hued body with bright crocodile-printed leather patches at the top  a curving silhouette with a magnetic snap closure in the center  and diagonal zippers across the front. Interior has a zippered pocket and three open pockets. 15.5 inch length  13 inch height  4 3/5 inch width. ,Brand/Vince Camuto | Category/Handbags,Vince Camuto,GRAPEFRUIT,ORANGE,1 Size,S12,415,Brand|Category
1083BRN,1083BRN,JULIANN OVERSIZED CLUTCH BROWN,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1083BRN&color=QE201,198,https://devbr4wam.fdm4.com/prodimg/thumb/1083BRN.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1083BRN.jpg,1083BRN   JULIANN OVERSIZED CLUTCH BROWN   Handbags   Vince Camuto   Incredibly supple leather lends a slouchy feel to the oversize Juliann Clutch from Vince Camuto This reversible  foldover clutch has contrasting colors on both sides that can be flipped to highlight either tone  a zipper closure  and luxe horn and tassel detailing at the closure Cut-out top handles allow this clutch to be used as a hand-held purse 15 inch length  275 inch width  15 inch height   1 Size   ALL Sizes   BROWN   Brown/navy   DKBROWN,"Incredibly supple leather lends a slouchy feel to the oversize Juliann Clutch from Vince Camuto. This reversible  foldover clutch has contrasting colors on both sides that can be flipped to highlight either tone  a zipper closure  and luxe horn and tassel detailing at the closure. Cut-out top handles allow this clutch to be used as a hand-held purse. 15 inch length  2.75 inch width  15  inch height. <br>
",Brand/Vince Camuto | Category/Handbags,Vince Camuto ,BROWN|Brown/navy,Browns|DKBROWN,1 Size,S12,1630,Brand|Category
1083GRP,1083GRP,JULIANN CLUTCH GRAPEFRUIT,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1083GRP&color=LE202,198,https://devbr4wam.fdm4.com/prodimg/thumb/1083GRP.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1083GRP.jpg,1083GRP   JULIANN CLUTCH GRAPEFRUIT   Handbags   Vince Camuto   Incredibly supple leather lends a slouchy feel to the oversize Juliann Clutch from Vince Camuto This reversible  foldover clutch has contrasting colors on both sides that can be flipped to highlight either tone  a zipper closure  and luxe horn and tassel detailing at the closure Cut-out top handles allow this clutch to be used as a hand-held purse 15 inch length  275 inch width  15 inch height   1 Size   ALL Sizes   GRAPEFRUIT   Brown/grapefruit   DKBROWN,"Incredibly supple leather lends a slouchy feel to the oversize Juliann Clutch from Vince Camuto. This reversible  foldover clutch has contrasting colors on both sides that can be flipped to highlight either tone  a zipper closure  and luxe horn and tassel detailing at the closure. Cut-out top handles allow this clutch to be used as a hand-held purse. 15 inch length  2.75 inch width  15  inch height. <br>
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,GRAPEFRUIT|Brown/grapefruit,ORANGE|DKBROWN,1 Size,S12,1910,Brand|Category
